"GAULCountryCode","Year","YearLabel","SeriesCode","SeriesName","QualifierCode","Value","UnitOfMeasure","SourceCode","TopicCode"
1,2000,"2000","SE.ADT.LITR.ZS","Literacy rate, adult (% of people ages 15 and above)","F","","percent","External","RPR"
1,2000,"2000","SH.DYN.MORT","Mortality rate, under-5 (per 1,000 live births)","F","131.3","per 1,000","External","RPR"
1,2000,"2000","SH.STA.MALN.ZS","Malnutrition prevalence, weight for age (% of children under 5)","F","","percent","External","RPR"
1,2000,"2000","SL.AGR.EMPL.ZS","Employment in agriculture (% of total employment)","F","","percent","External","HADE"
1,2000,"2000","SE.ADT.LITR.ZS","Literacy rate, adult (% of people ages 15 and above)","M","","percent","External","RPR"
1,2000,"2000","SH.DYN.MORT","Mortality rate, under-5 (per 1,000 live births)","M","139.8","per 1,000","External","RPR"
1,2000,"2000","SH.STA.MALN.ZS","Malnutrition prevalence, weight for age (% of children under 5)","M","","percent","External","RPR"
1,2000,"2000","SL.AGR.EMPL.ZS","Employment in agriculture (% of total employment)","M","","percent","External","HADE"
1,2000,"2000","EA.PRD.AGRI.KD","Agriculture value added per worker (constant 2000 US$)","N","","constant 2000 US$","External","RPR"
1,2000,"2000","FS.OA.POU.PCT3D1","Prevalence of undernourishment (%)","N","45.2","percent","External","RPR"
1,2000,"2000","NV.AGR.TOTL.KD.ZG","Agriculture, value added (annual % growth)","N","","percent","External","RPR"
1,2000,"2000","NV.AGR.TOTL.ZS","Agriculture, value added (percent of GDP)","N","","percent","External","RPR"
1,2000,"2000","NY.ADJ.DFOR.GN.ZS","Adjusted savings: net forest depletion (% of GNI)","N","","percent","External","NR"
1,2000,"2000","RL.IL.ALPC.HA","Arable land and permanent crops (ha)","N","7753000","ha","External","NR"
1,2000,"2000","SH.IMM.IDPT","Immunization, DPT (% of children ages 12-23 months)","N","24","percent","External","RPR"
1,2000,"2000","SE.ADT.LITR.ZS","Literacy rate, adult (% of people ages 15 and above)","N","","percent","External","RPR"
1,2000,"2000","SE.ADT.MYS.ZS","Mean years of schooling of adults (years)","N","2.1","years","External","RPR"
1,2000,"2000","RL.IL.AAAI.HA","Agricultural area actually irrigated (ha)","N","","ha","External","NR"
1,2000,"2000","RL.IL.AAAI.PCT","Agricultural area actually irrigated, share of arable land and permanent crops (percent)","N","","percent","External","NR"
1,2000,"2000","RL.IL.AL.HA","Arable land (ha)","N","7683000","ha","External","NR"
1,2000,"2000","RL.IL.AL.HC","Per capita arable land (ha)","N","0.373051711580481","ha/cap","External","NR"
1,2000,"2000","SI.POV.DDAY","Poverty headcount ratio at $1.25 a day (PPP) (% of population)","N","","percent","External","RPR"
1,2000,"2000","SI.POV.GAP2","Poverty gap at $2 a day (PPP) (%)","N","","percent","External","RPR"
1,2000,"2000","SH.STA.ANVC.ZS","Pregnant women receiving prenatal care (%)","N","36.9","percent","External","RPR"
1,2000,"2000","SH.STA.BRTC.ZS","Births attended by skilled health staff (% of total)","N","12.4","percent","External","RPR"
1,2000,"2000","SH.H2O.SAFE.ZS","Improved water source (% of population with access)","N","22.1","percent","External","OPA"
1,2000,"2000","SH.IMM.MEAS","Immunization, measles (% of children ages 12-23 months)","N","27","percent","External","RPR"
1,2000,"2000","SH.DYN.MORT","Mortality rate, under-5 (per 1,000 live births)","N","135.6","per 1,000","External","RPR"
1,2000,"2000","SI.POV.2DAY","Poverty headcount ratio at $2 a day (PPP) (% of population)","N","","percent","External","RPR"
1,2000,"2000","SI.POV.GAPS","Poverty gap at $1.25 a day (PPP) (%)","N","","percent","External","RPR"
1,2000,"2000","SH.MED.CMHW.P3","Community health workers (per 1,000 people)","N","","per 1000 people","External","RPR"
1,2000,"2000","SH.STA.ACSN","Improved sanitation facilities (% of population with access)","N","23.2","percent","External","OPA"
1,2000,"2000","SI.POV.NAGP","Poverty gap at national poverty lines (%)","N","","percent","External","RPR"
1,2000,"2000","SL.AGR.EMPL.ZS","Employment in agriculture (% of total employment)","N","","percent","External","HADE"
1,2000,"2000","SH.STA.MMRT","Maternal mortality ratio (modeled estimate, per 100,000 live births)","N","1100","per 100,000","External","RPR"
1,2000,"2000","SI.POV.NAHC","Poverty headcount ratio at national poverty lines (% of population)","N","","percent","External","RPR"
1,2000,"2000","SH.STA.MALN.ZS","Malnutrition prevalence, weight for age (% of children under 5)","N","","percent","External","RPR"
1,2000,"2000","OA.TP.POP.ZS","Population (share of total population)","R","0.794173343044428","percent","External","RPR"
1,2000,"2000","SH.STA.ACSN","Improved sanitation facilities (% of population with access)","R","20.9","percent","External","OPA"
1,2000,"2000","SI.POV.NAHC","Poverty headcount ratio at national poverty lines (% of population)","R","","percent","External","RPR"
1,2000,"2000","SI.POV.NAGP","Poverty gap at national poverty lines (%)","R","","percent","External","RPR"
1,2000,"2000","SH.H2O.SAFE.ZS","Improved water source (% of population with access)","R","18.5","percent","External","OPA"
1,2000,"2000","SH.H2O.SAFE.ZS","Improved water source (% of population with access)","U","36.3","percent","External","OPA"
1,2000,"2000","SI.POV.NAGP","Poverty gap at national poverty lines (%)","U","","percent","External","RPR"
1,2000,"2000","OA.TP.POP.ZS","Population (share of total population)","U","0.205826656955572","percent","External","RPR"
1,2000,"2000","SI.POV.NAHC","Poverty headcount ratio at national poverty lines (% of population)","U","","percent","External","RPR"
1,2000,"2000","SH.STA.ACSN","Improved sanitation facilities (% of population with access)","U","32.1","percent","External","OPA"
1,2001,"2001","SE.ADT.LITR.ZS","Literacy rate, adult (% of people ages 15 and above)","F","","percent","External","RPR"
1,2001,"2001","SH.DYN.MORT","Mortality rate, under-5 (per 1,000 live births)","F","","per 1,000","External","RPR"
1,2001,"2001","SH.STA.MALN.ZS","Malnutrition prevalence, weight for age (% of children under 5)","F","","percent","External","RPR"
1,2001,"2001","SL.AGR.EMPL.ZS","Employment in agriculture (% of total employment)","F","","percent","External","HADE"
1,2001,"2001","SE.ADT.LITR.ZS","Literacy rate, adult (% of people ages 15 and above)","M","","percent","External","RPR"
1,2001,"2001","SH.DYN.MORT","Mortality rate, under-5 (per 1,000 live births)","M","","per 1,000","External","RPR"
1,2001,"2001","SH.STA.MALN.ZS","Malnutrition prevalence, weight for age (% of children under 5)","M","","percent","External","RPR"
1,2001,"2001","SL.AGR.EMPL.ZS","Employment in agriculture (% of total employment)","M","","percent","External","HADE"
1,2001,"2001","EA.PRD.AGRI.KD","Agriculture value added per worker (constant 2000 US$)","N","","constant 2000 US$","External","RPR"
1,2001,"2001","FS.OA.POU.PCT3D1","Prevalence of undernourishment (%)","N","46.7","percent","External","RPR"
1,2001,"2001","NV.AGR.TOTL.KD.ZG","Agriculture, value added (annual % growth)","N","","percent","External","RPR"
1,2001,"2001","NV.AGR.TOTL.ZS","Agriculture, value added (percent of GDP)","N","","percent","External","RPR"
1,2001,"2001","NY.ADJ.DFOR.GN.ZS","Adjusted savings: net forest depletion (% of GNI)","N","4.99004364013672","percent","External","NR"
1,2001,"2001","RL.IL.ALPC.HA","Arable land and permanent crops (ha)","N","7753000","ha","External","NR"
1,2001,"2001","SH.IMM.IDPT","Immunization, DPT (% of children ages 12-23 months)","N","33","percent","External","RPR"
1,2001,"2001","SE.ADT.LITR.ZS","Literacy rate, adult (% of people ages 15 and above)","N","","percent","External","RPR"
1,2001,"2001","SE.ADT.MYS.ZS","Mean years of schooling of adults (years)","N","","years","External","RPR"
1,2001,"2001","RL.IL.AAAI.HA","Agricultural area actually irrigated (ha)","N","2140000","ha","External","NR"
1,2001,"2001","RL.IL.AAAI.PCT","Agricultural area actually irrigated, share of arable land and permanent crops (percent)","N","0.27602218496066","percent","External","NR"
1,2001,"2001","RL.IL.AL.HA","Arable land (ha)","N","7683000","ha","External","NR"
1,2001,"2001","RL.IL.AL.HC","Per capita arable land (ha)","N","0.359893198426082","ha/cap","External","NR"
1,2001,"2001","SI.POV.DDAY","Poverty headcount ratio at $1.25 a day (PPP) (% of population)","N","","percent","External","RPR"
1,2001,"2001","SI.POV.GAP2","Poverty gap at $2 a day (PPP) (%)","N","","percent","External","RPR"
1,2001,"2001","SH.STA.ANVC.ZS","Pregnant women receiving prenatal care (%)","N","","percent","External","RPR"
1,2001,"2001","SH.STA.BRTC.ZS","Births attended by skilled health staff (% of total)","N","","percent","External","RPR"
1,2001,"2001","SH.H2O.SAFE.ZS","Improved water source (% of population with access)","N","25.6","percent","External","OPA"
1,2001,"2001","SH.IMM.MEAS","Immunization, measles (% of children ages 12-23 months)","N","37","percent","External","RPR"
1,2001,"2001","SH.DYN.MORT","Mortality rate, under-5 (per 1,000 live births)","N","132.7","per 1,000","External","RPR"
1,2001,"2001","SI.POV.2DAY","Poverty headcount ratio at $2 a day (PPP) (% of population)","N","","percent","External","RPR"
1,2001,"2001","SI.POV.GAPS","Poverty gap at $1.25 a day (PPP) (%)","N","","percent","External","RPR"
1,2001,"2001","SH.MED.CMHW.P3","Community health workers (per 1,000 people)","N","","per 1000 people","External","RPR"
1,2001,"2001","SH.STA.ACSN","Improved sanitation facilities (% of population with access)","N","23.6","percent","External","OPA"
1,2001,"2001","SI.POV.NAGP","Poverty gap at national poverty lines (%)","N","","percent","External","RPR"
1,2001,"2001","SL.AGR.EMPL.ZS","Employment in agriculture (% of total employment)","N","","percent","External","HADE"
1,2001,"2001","SH.STA.MMRT","Maternal mortality ratio (modeled estimate, per 100,000 live births)","N","","per 100,000","External","RPR"
1,2001,"2001","SI.POV.NAHC","Poverty headcount ratio at national poverty lines (% of population)","N","","percent","External","RPR"
1,2001,"2001","SH.STA.MALN.ZS","Malnutrition prevalence, weight for age (% of children under 5)","N","","percent","External","RPR"
1,2001,"2001","OA.TP.POP.ZS","Population (share of total population)","R","0.7915964024733","percent","External","RPR"
1,2001,"2001","SH.STA.ACSN","Improved sanitation facilities (% of population with access)","R","21.1","percent","External","OPA"
1,2001,"2001","SI.POV.NAHC","Poverty headcount ratio at national poverty lines (% of population)","R","","percent","External","RPR"
1,2001,"2001","SI.POV.NAGP","Poverty gap at national poverty lines (%)","R","","percent","External","RPR"
1,2001,"2001","SH.H2O.SAFE.ZS","Improved water source (% of population with access)","R","21.6","percent","External","OPA"
1,2001,"2001","SH.H2O.SAFE.ZS","Improved water source (% of population with access)","U","40.8","percent","External","OPA"
1,2001,"2001","SI.POV.NAGP","Poverty gap at national poverty lines (%)","U","","percent","External","RPR"
1,2001,"2001","OA.TP.POP.ZS","Population (share of total population)","U","0.208356754731122","percent","External","RPR"
1,2001,"2001","SI.POV.NAHC","Poverty headcount ratio at national poverty lines (% of population)","U","","percent","External","RPR"
1,2001,"2001","SH.STA.ACSN","Improved sanitation facilities (% of population with access)","U","33.3","percent","External","OPA"
1,2002,"2002","SE.ADT.LITR.ZS","Literacy rate, adult (% of people ages 15 and above)","F","","percent","External","RPR"
1,2002,"2002","SH.DYN.MORT","Mortality rate, under-5 (per 1,000 live births)","F","","per 1,000","External","RPR"
1,2002,"2002","SH.STA.MALN.ZS","Malnutrition prevalence, weight for age (% of children under 5)","F","","percent","External","RPR"
1,2002,"2002","SL.AGR.EMPL.ZS","Employment in agriculture (% of total employment)","F","","percent","External","HADE"
1,2002,"2002","SE.ADT.LITR.ZS","Literacy rate, adult (% of people ages 15 and above)","M","","percent","External","RPR"
1,2002,"2002","SH.DYN.MORT","Mortality rate, under-5 (per 1,000 live births)","M","","per 1,000","External","RPR"
1,2002,"2002","SH.STA.MALN.ZS","Malnutrition prevalence, weight for age (% of children under 5)","M","","percent","External","RPR"
1,2002,"2002","SL.AGR.EMPL.ZS","Employment in agriculture (% of total employment)","M","","percent","External","HADE"
1,2002,"2002","EA.PRD.AGRI.KD","Agriculture value added per worker (constant 2000 US$)","N","428.408113024096","constant 2000 US$","External","RPR"
1,2002,"2002","FS.OA.POU.PCT3D1","Prevalence of undernourishment (%)","N","46.7","percent","External","RPR"
1,2002,"2002","NV.AGR.TOTL.KD.ZG","Agriculture, value added (annual % growth)","N","","percent","External","RPR"
1,2002,"2002","NV.AGR.TOTL.ZS","Agriculture, value added (percent of GDP)","N","38.4719400285995","percent","External","RPR"
1,2002,"2002","NY.ADJ.DFOR.GN.ZS","Adjusted savings: net forest depletion (% of GNI)","N","4.72039365768433","percent","External","NR"
1,2002,"2002","RL.IL.ALPC.HA","Arable land and permanent crops (ha)","N","7753000","ha","External","NR"
1,2002,"2002","SH.IMM.IDPT","Immunization, DPT (% of children ages 12-23 months)","N","36","percent","External","RPR"
1,2002,"2002","SE.ADT.LITR.ZS","Literacy rate, adult (% of people ages 15 and above)","N","","percent","External","RPR"
1,2002,"2002","SE.ADT.MYS.ZS","Mean years of schooling of adults (years)","N","","years","External","RPR"
1,2002,"2002","RL.IL.AAAI.HA","Agricultural area actually irrigated (ha)","N","1745000","ha","External","NR"
1,2002,"2002","RL.IL.AAAI.PCT","Agricultural area actually irrigated, share of arable land and permanent crops (percent)","N","0.225074164839417","percent","External","NR"
1,2002,"2002","RL.IL.AL.HA","Arable land (ha)","N","7678000","ha","External","NR"
1,2002,"2002","RL.IL.AL.HC","Per capita arable land (ha)","N","0.345809124893032","ha/cap","External","NR"
1,2002,"2002","SI.POV.DDAY","Poverty headcount ratio at $1.25 a day (PPP) (% of population)","N","","percent","External","RPR"
1,2002,"2002","SI.POV.GAP2","Poverty gap at $2 a day (PPP) (%)","N","","percent","External","RPR"
1,2002,"2002","SH.STA.ANVC.ZS","Pregnant women receiving prenatal care (%)","N","","percent","External","RPR"
1,2002,"2002","SH.STA.BRTC.ZS","Births attended by skilled health staff (% of total)","N","","percent","External","RPR"
1,2002,"2002","SH.H2O.SAFE.ZS","Improved water source (% of population with access)","N","29.1","percent","External","OPA"
1,2002,"2002","SH.IMM.MEAS","Immunization, measles (% of children ages 12-23 months)","N","35","percent","External","RPR"
1,2002,"2002","SH.DYN.MORT","Mortality rate, under-5 (per 1,000 live births)","N","129.4","per 1,000","External","RPR"
1,2002,"2002","SI.POV.2DAY","Poverty headcount ratio at $2 a day (PPP) (% of population)","N","","percent","External","RPR"
1,2002,"2002","SI.POV.GAPS","Poverty gap at $1.25 a day (PPP) (%)","N","","percent","External","RPR"
1,2002,"2002","SH.MED.CMHW.P3","Community health workers (per 1,000 people)","N","","per 1000 people","External","RPR"
1,2002,"2002","SH.STA.ACSN","Improved sanitation facilities (% of population with access)","N","24.1","percent","External","OPA"
1,2002,"2002","SI.POV.NAGP","Poverty gap at national poverty lines (%)","N","","percent","External","RPR"
1,2002,"2002","SL.AGR.EMPL.ZS","Employment in agriculture (% of total employment)","N","","percent","External","HADE"
1,2002,"2002","SH.STA.MMRT","Maternal mortality ratio (modeled estimate, per 100,000 live births)","N","","per 100,000","External","RPR"
1,2002,"2002","SI.POV.NAHC","Poverty headcount ratio at national poverty lines (% of population)","N","","percent","External","RPR"
1,2002,"2002","SH.STA.MALN.ZS","Malnutrition prevalence, weight for age (% of children under 5)","N","","percent","External","RPR"
1,2002,"2002","OA.TP.POP.ZS","Population (share of total population)","R","0.789037517452597","percent","External","RPR"
1,2002,"2002","SH.STA.ACSN","Improved sanitation facilities (% of population with access)","R","21.3","percent","External","OPA"
1,2002,"2002","SI.POV.NAHC","Poverty headcount ratio at national poverty lines (% of population)","R","","percent","External","RPR"
1,2002,"2002","SI.POV.NAGP","Poverty gap at national poverty lines (%)","R","","percent","External","RPR"
1,2002,"2002","SH.H2O.SAFE.ZS","Improved water source (% of population with access)","R","24.7","percent","External","OPA"
1,2002,"2002","SH.H2O.SAFE.ZS","Improved water source (% of population with access)","U","45.2","percent","External","OPA"
1,2002,"2002","SI.POV.NAGP","Poverty gap at national poverty lines (%)","U","","percent","External","RPR"
1,2002,"2002","OA.TP.POP.ZS","Population (share of total population)","U","0.210962482547403","percent","External","RPR"
1,2002,"2002","SI.POV.NAHC","Poverty headcount ratio at national poverty lines (% of population)","U","","percent","External","RPR"
1,2002,"2002","SH.STA.ACSN","Improved sanitation facilities (% of population with access)","U","34.6","percent","External","OPA"
1,2003,"2003","SE.ADT.LITR.ZS","Literacy rate, adult (% of people ages 15 and above)","F","","percent","External","RPR"
1,2003,"2003","SH.DYN.MORT","Mortality rate, under-5 (per 1,000 live births)","F","","per 1,000","External","RPR"
1,2003,"2003","SH.STA.MALN.ZS","Malnutrition prevalence, weight for age (% of children under 5)","F","","percent","External","RPR"
1,2003,"2003","SL.AGR.EMPL.ZS","Employment in agriculture (% of total employment)","F","","percent","External","HADE"
1,2003,"2003","SE.ADT.LITR.ZS","Literacy rate, adult (% of people ages 15 and above)","M","","percent","External","RPR"
1,2003,"2003","SH.DYN.MORT","Mortality rate, under-5 (per 1,000 live births)","M","","per 1,000","External","RPR"
1,2003,"2003","SH.STA.MALN.ZS","Malnutrition prevalence, weight for age (% of children under 5)","M","","percent","External","RPR"
1,2003,"2003","SL.AGR.EMPL.ZS","Employment in agriculture (% of total employment)","M","","percent","External","HADE"
1,2003,"2003","EA.PRD.AGRI.KD","Agriculture value added per worker (constant 2000 US$)","N","423.778000434791","constant 2000 US$","External","RPR"
1,2003,"2003","FS.OA.POU.PCT3D1","Prevalence of undernourishment (%)","N","43.6","percent","External","RPR"
1,2003,"2003","NV.AGR.TOTL.KD.ZG","Agriculture, value added (annual % growth)","N","2.79922332379998","percent","External","RPR"
