"GAULCountryCode","Year","YearLabel","SeriesCode","SeriesName","QualifierCode","Value","UnitOfMeasure","SourceCode","TopicCode"
1,2003,"2003","NV.AGR.TOTL.ZS","Agriculture, value added (percent of GDP)","N","37.7654435078259","percent","External","RPR"
1,2003,"2003","NY.ADJ.DFOR.GN.ZS","Adjusted savings: net forest depletion (% of GNI)","N","3.28159785270691","percent","External","NR"
1,2003,"2003","RL.IL.ALPC.HA","Arable land and permanent crops (ha)","N","7910000","ha","External","NR"
1,2003,"2003","SH.IMM.IDPT","Immunization, DPT (% of children ages 12-23 months)","N","41","percent","External","RPR"
1,2003,"2003","SE.ADT.LITR.ZS","Literacy rate, adult (% of people ages 15 and above)","N","","percent","External","RPR"
1,2003,"2003","SE.ADT.MYS.ZS","Mean years of schooling of adults (years)","N","","years","External","RPR"
1,2003,"2003","RL.IL.AAAI.HA","Agricultural area actually irrigated (ha)","N","2752000","ha","External","NR"
1,2003,"2003","RL.IL.AAAI.PCT","Agricultural area actually irrigated, share of arable land and permanent crops (percent)","N","0.347914032869785","percent","External","NR"
1,2003,"2003","RL.IL.AL.HA","Arable land (ha)","N","7772000","ha","External","NR"
1,2003,"2003","RL.IL.AL.HC","Per capita arable land (ha)","N","0.336217338639903","ha/cap","External","NR"
1,2003,"2003","SI.POV.DDAY","Poverty headcount ratio at $1.25 a day (PPP) (% of population)","N","","percent","External","RPR"
1,2003,"2003","SI.POV.GAP2","Poverty gap at $2 a day (PPP) (%)","N","","percent","External","RPR"
1,2003,"2003","SH.STA.ANVC.ZS","Pregnant women receiving prenatal care (%)","N","16.1","percent","External","RPR"
1,2003,"2003","SH.STA.BRTC.ZS","Births attended by skilled health staff (% of total)","N","14.3","percent","External","RPR"
1,2003,"2003","SH.H2O.SAFE.ZS","Improved water source (% of population with access)","N","32.5","percent","External","OPA"
1,2003,"2003","SH.IMM.MEAS","Immunization, measles (% of children ages 12-23 months)","N","39","percent","External","RPR"
1,2003,"2003","SH.DYN.MORT","Mortality rate, under-5 (per 1,000 live births)","N","125.9","per 1,000","External","RPR"
1,2003,"2003","SI.POV.2DAY","Poverty headcount ratio at $2 a day (PPP) (% of population)","N","","percent","External","RPR"
1,2003,"2003","SI.POV.GAPS","Poverty gap at $1.25 a day (PPP) (%)","N","","percent","External","RPR"
1,2003,"2003","SH.MED.CMHW.P3","Community health workers (per 1,000 people)","N","","per 1000 people","External","RPR"
1,2003,"2003","SH.STA.ACSN","Improved sanitation facilities (% of population with access)","N","24.6","percent","External","OPA"
1,2003,"2003","SI.POV.NAGP","Poverty gap at national poverty lines (%)","N","","percent","External","RPR"
1,2003,"2003","SL.AGR.EMPL.ZS","Employment in agriculture (% of total employment)","N","","percent","External","HADE"
1,2003,"2003","SH.STA.MMRT","Maternal mortality ratio (modeled estimate, per 100,000 live births)","N","","per 100,000","External","RPR"
1,2003,"2003","SI.POV.NAHC","Poverty headcount ratio at national poverty lines (% of population)","N","","percent","External","RPR"
1,2003,"2003","SH.STA.MALN.ZS","Malnutrition prevalence, weight for age (% of children under 5)","N","","percent","External","RPR"
1,2003,"2003","OA.TP.POP.ZS","Population (share of total population)","R","0.786468247101575","percent","External","RPR"
1,2003,"2003","SH.STA.ACSN","Improved sanitation facilities (% of population with access)","R","21.5","percent","External","OPA"
1,2003,"2003","SI.POV.NAHC","Poverty headcount ratio at national poverty lines (% of population)","R","","percent","External","RPR"
1,2003,"2003","SI.POV.NAGP","Poverty gap at national poverty lines (%)","R","","percent","External","RPR"
1,2003,"2003","SH.H2O.SAFE.ZS","Improved water source (% of population with access)","R","27.9","percent","External","OPA"
1,2003,"2003","SH.H2O.SAFE.ZS","Improved water source (% of population with access)","U","49.7","percent","External","OPA"
1,2003,"2003","SI.POV.NAGP","Poverty gap at national poverty lines (%)","U","","percent","External","RPR"
1,2003,"2003","OA.TP.POP.ZS","Population (share of total population)","U","0.213531752898425","percent","External","RPR"
1,2003,"2003","SI.POV.NAHC","Poverty headcount ratio at national poverty lines (% of population)","U","","percent","External","RPR"
1,2003,"2003","SH.STA.ACSN","Improved sanitation facilities (% of population with access)","U","35.8","percent","External","OPA"
1,2004,"2004","SE.ADT.LITR.ZS","Literacy rate, adult (% of people ages 15 and above)","F","","percent","External","RPR"
1,2004,"2004","SH.DYN.MORT","Mortality rate, under-5 (per 1,000 live births)","F","","per 1,000","External","RPR"
1,2004,"2004","SH.STA.MALN.ZS","Malnutrition prevalence, weight for age (% of children under 5)","F","33","percent","External","RPR"
1,2004,"2004","SL.AGR.EMPL.ZS","Employment in agriculture (% of total employment)","F","","percent","External","HADE"
1,2004,"2004","SE.ADT.LITR.ZS","Literacy rate, adult (% of people ages 15 and above)","M","","percent","External","RPR"
1,2004,"2004","SH.DYN.MORT","Mortality rate, under-5 (per 1,000 live births)","M","","per 1,000","External","RPR"
1,2004,"2004","SH.STA.MALN.ZS","Malnutrition prevalence, weight for age (% of children under 5)","M","32.7","percent","External","RPR"
1,2004,"2004","SL.AGR.EMPL.ZS","Employment in agriculture (% of total employment)","M","","percent","External","HADE"
1,2004,"2004","EA.PRD.AGRI.KD","Agriculture value added per worker (constant 2000 US$)","N","317.677691088781","constant 2000 US$","External","RPR"
1,2004,"2004","FS.OA.POU.PCT3D1","Prevalence of undernourishment (%)","N","39.3","percent","External","RPR"
1,2004,"2004","NV.AGR.TOTL.KD.ZG","Agriculture, value added (annual % growth)","N","-22.2374972096684","percent","External","RPR"
1,2004,"2004","NV.AGR.TOTL.ZS","Agriculture, value added (percent of GDP)","N","30.2716744732668","percent","External","RPR"
1,2004,"2004","NY.ADJ.DFOR.GN.ZS","Adjusted savings: net forest depletion (% of GNI)","N","1.91502594947815","percent","External","NR"
1,2004,"2004","RL.IL.ALPC.HA","Arable land and permanent crops (ha)","N","7911000","ha","External","NR"
1,2004,"2004","SH.IMM.IDPT","Immunization, DPT (% of children ages 12-23 months)","N","50","percent","External","RPR"
1,2004,"2004","SE.ADT.LITR.ZS","Literacy rate, adult (% of people ages 15 and above)","N","","percent","External","RPR"
1,2004,"2004","SE.ADT.MYS.ZS","Mean years of schooling of adults (years)","N","","years","External","RPR"
1,2004,"2004","RL.IL.AAAI.HA","Agricultural area actually irrigated (ha)","N","2086000","ha","External","NR"
1,2004,"2004","RL.IL.AAAI.PCT","Agricultural area actually irrigated, share of arable land and permanent crops (percent)","N","0.263683478700544","percent","External","NR"
1,2004,"2004","RL.IL.AL.HA","Arable land (ha)","N","7816000","ha","External","NR"
1,2004,"2004","RL.IL.AL.HC","Per capita arable land (ha)","N","0.325409051167825","ha/cap","External","NR"
1,2004,"2004","SI.POV.DDAY","Poverty headcount ratio at $1.25 a day (PPP) (% of population)","N","","percent","External","RPR"
1,2004,"2004","SI.POV.GAP2","Poverty gap at $2 a day (PPP) (%)","N","","percent","External","RPR"
1,2004,"2004","SH.STA.ANVC.ZS","Pregnant women receiving prenatal care (%)","N","","percent","External","RPR"
1,2004,"2004","SH.STA.BRTC.ZS","Births attended by skilled health staff (% of total)","N","","percent","External","RPR"
1,2004,"2004","SH.H2O.SAFE.ZS","Improved water source (% of population with access)","N","36","percent","External","OPA"
1,2004,"2004","SH.IMM.MEAS","Immunization, measles (% of children ages 12-23 months)","N","48","percent","External","RPR"
1,2004,"2004","SH.DYN.MORT","Mortality rate, under-5 (per 1,000 live births)","N","122.4","per 1,000","External","RPR"
1,2004,"2004","SI.POV.2DAY","Poverty headcount ratio at $2 a day (PPP) (% of population)","N","","percent","External","RPR"
1,2004,"2004","SI.POV.GAPS","Poverty gap at $1.25 a day (PPP) (%)","N","","percent","External","RPR"
1,2004,"2004","SH.MED.CMHW.P3","Community health workers (per 1,000 people)","N","","per 1000 people","External","RPR"
1,2004,"2004","SH.STA.ACSN","Improved sanitation facilities (% of population with access)","N","25","percent","External","OPA"
1,2004,"2004","SI.POV.NAGP","Poverty gap at national poverty lines (%)","N","","percent","External","RPR"
1,2004,"2004","SL.AGR.EMPL.ZS","Employment in agriculture (% of total employment)","N","","percent","External","HADE"
1,2004,"2004","SH.STA.MMRT","Maternal mortality ratio (modeled estimate, per 100,000 live births)","N","","per 100,000","External","RPR"
1,2004,"2004","SI.POV.NAHC","Poverty headcount ratio at national poverty lines (% of population)","N","","percent","External","RPR"
1,2004,"2004","SH.STA.MALN.ZS","Malnutrition prevalence, weight for age (% of children under 5)","N","32.9","percent","External","RPR"
1,2004,"2004","OA.TP.POP.ZS","Population (share of total population)","R","0.783796161372247","percent","External","RPR"
1,2004,"2004","SH.STA.ACSN","Improved sanitation facilities (% of population with access)","R","21.7","percent","External","OPA"
1,2004,"2004","SI.POV.NAHC","Poverty headcount ratio at national poverty lines (% of population)","R","","percent","External","RPR"
1,2004,"2004","SI.POV.NAGP","Poverty gap at national poverty lines (%)","R","","percent","External","RPR"
1,2004,"2004","SH.H2O.SAFE.ZS","Improved water source (% of population with access)","R","31","percent","External","OPA"
1,2004,"2004","SH.H2O.SAFE.ZS","Improved water source (% of population with access)","U","54.1","percent","External","OPA"
1,2004,"2004","SI.POV.NAGP","Poverty gap at national poverty lines (%)","U","","percent","External","RPR"
1,2004,"2004","OA.TP.POP.ZS","Population (share of total population)","U","0.216162204921104","percent","External","RPR"
1,2004,"2004","SH.STA.ACSN","Improved sanitation facilities (% of population with access)","U","37","percent","External","OPA"
1,2004,"2004","SI.POV.NAHC","Poverty headcount ratio at national poverty lines (% of population)","U","","percent","External","RPR"
1,2005,"2005","SE.ADT.LITR.ZS","Literacy rate, adult (% of people ages 15 and above)","F","","percent","External","RPR"
1,2005,"2005","SH.DYN.MORT","Mortality rate, under-5 (per 1,000 live births)","F","","per 1,000","External","RPR"
1,2005,"2005","SH.STA.MALN.ZS","Malnutrition prevalence, weight for age (% of children under 5)","F","","percent","External","RPR"
1,2005,"2005","SL.AGR.EMPL.ZS","Employment in agriculture (% of total employment)","F","","percent","External","HADE"
1,2005,"2005","SE.ADT.LITR.ZS","Literacy rate, adult (% of people ages 15 and above)","M","","percent","External","RPR"
1,2005,"2005","SH.DYN.MORT","Mortality rate, under-5 (per 1,000 live births)","M","","per 1,000","External","RPR"
1,2005,"2005","SH.STA.MALN.ZS","Malnutrition prevalence, weight for age (% of children under 5)","M","","percent","External","RPR"
1,2005,"2005","SL.AGR.EMPL.ZS","Employment in agriculture (% of total employment)","M","","percent","External","HADE"
1,2005,"2005","EA.PRD.AGRI.KD","Agriculture value added per worker (constant 2000 US$)","N","361.995191541529","constant 2000 US$","External","RPR"
1,2005,"2005","FS.OA.POU.PCT3D1","Prevalence of undernourishment (%)","N","35.2","percent","External","RPR"
1,2005,"2005","NV.AGR.TOTL.KD.ZG","Agriculture, value added (annual % growth)","N","17.699556238409","percent","External","RPR"
1,2005,"2005","NV.AGR.TOTL.ZS","Agriculture, value added (percent of GDP)","N","31.7509905365424","percent","External","RPR"
1,2005,"2005","NY.ADJ.DFOR.GN.ZS","Adjusted savings: net forest depletion (% of GNI)","N","1.64768671989441","percent","External","NR"
1,2005,"2005","RL.IL.ALPC.HA","Arable land and permanent crops (ha)","N","7910000","ha","External","NR"
1,2005,"2005","SH.IMM.IDPT","Immunization, DPT (% of children ages 12-23 months)","N","58","percent","External","RPR"
1,2005,"2005","SE.ADT.LITR.ZS","Literacy rate, adult (% of people ages 15 and above)","N","","percent","External","RPR"
1,2005,"2005","SE.ADT.MYS.ZS","Mean years of schooling of adults (years)","N","2.5","years","External","RPR"
1,2005,"2005","RL.IL.AAAI.HA","Agricultural area actually irrigated (ha)","N","2214000","ha","External","NR"
1,2005,"2005","RL.IL.AAAI.PCT","Agricultural area actually irrigated, share of arable land and permanent crops (percent)","N","0.279898862199747","percent","External","NR"
1,2005,"2005","RL.IL.AL.HA","Arable land (ha)","N","7805000","ha","External","NR"
1,2005,"2005","RL.IL.AL.HC","Per capita arable land (ha)","N","0.313945537186758","ha/cap","External","NR"
1,2005,"2005","SI.POV.DDAY","Poverty headcount ratio at $1.25 a day (PPP) (% of population)","N","","percent","External","RPR"
1,2005,"2005","SI.POV.GAP2","Poverty gap at $2 a day (PPP) (%)","N","","percent","External","RPR"
1,2005,"2005","SH.STA.ANVC.ZS","Pregnant women receiving prenatal care (%)","N","","percent","External","RPR"
1,2005,"2005","SH.STA.BRTC.ZS","Births attended by skilled health staff (% of total)","N","","percent","External","RPR"
1,2005,"2005","SH.H2O.SAFE.ZS","Improved water source (% of population with access)","N","39.5","percent","External","OPA"
1,2005,"2005","SH.IMM.MEAS","Immunization, measles (% of children ages 12-23 months)","N","50","percent","External","RPR"
1,2005,"2005","SH.DYN.MORT","Mortality rate, under-5 (per 1,000 live births)","N","119","per 1,000","External","RPR"
1,2005,"2005","SI.POV.2DAY","Poverty headcount ratio at $2 a day (PPP) (% of population)","N","","percent","External","RPR"
1,2005,"2005","SI.POV.GAPS","Poverty gap at $1.25 a day (PPP) (%)","N","","percent","External","RPR"
1,2005,"2005","SH.MED.CMHW.P3","Community health workers (per 1,000 people)","N","","per 1000 people","External","RPR"
1,2005,"2005","SH.STA.ACSN","Improved sanitation facilities (% of population with access)","N","25.5","percent","External","OPA"
1,2005,"2005","SI.POV.NAGP","Poverty gap at national poverty lines (%)","N","","percent","External","RPR"
1,2005,"2005","SL.AGR.EMPL.ZS","Employment in agriculture (% of total employment)","N","","percent","External","HADE"
1,2005,"2005","SH.STA.MMRT","Maternal mortality ratio (modeled estimate, per 100,000 live births)","N","730","per 100,000","External","RPR"
1,2005,"2005","SI.POV.NAHC","Poverty headcount ratio at national poverty lines (% of population)","N","","percent","External","RPR"
1,2005,"2005","SH.STA.MALN.ZS","Malnutrition prevalence, weight for age (% of children under 5)","N","","percent","External","RPR"
1,2005,"2005","OA.TP.POP.ZS","Population (share of total population)","R","0.781183379590523","percent","External","RPR"
1,2005,"2005","SH.STA.ACSN","Improved sanitation facilities (% of population with access)","R","21.9","percent","External","OPA"
1,2005,"2005","SI.POV.NAHC","Poverty headcount ratio at national poverty lines (% of population)","R","","percent","External","RPR"
1,2005,"2005","SI.POV.NAGP","Poverty gap at national poverty lines (%)","R","","percent","External","RPR"
1,2005,"2005","SH.H2O.SAFE.ZS","Improved water source (% of population with access)","R","34.2","percent","External","OPA"
1,2005,"2005","SH.H2O.SAFE.ZS","Improved water source (% of population with access)","U","58.6","percent","External","OPA"
1,2005,"2005","SI.POV.NAGP","Poverty gap at national poverty lines (%)","U","","percent","External","RPR"
1,2005,"2005","OA.TP.POP.ZS","Population (share of total population)","U","0.218816620409477","percent","External","RPR"
1,2005,"2005","SI.POV.NAHC","Poverty headcount ratio at national poverty lines (% of population)","U","","percent","External","RPR"
1,2005,"2005","SH.STA.ACSN","Improved sanitation facilities (% of population with access)","U","38.2","percent","External","OPA"
1,2006,"2006","SE.ADT.LITR.ZS","Literacy rate, adult (% of people ages 15 and above)","F","","percent","External","RPR"
1,2006,"2006","SH.DYN.MORT","Mortality rate, under-5 (per 1,000 live births)","F","","per 1,000","External","RPR"
1,2006,"2006","SH.STA.MALN.ZS","Malnutrition prevalence, weight for age (% of children under 5)","F","","percent","External","RPR"
1,2006,"2006","SL.AGR.EMPL.ZS","Employment in agriculture (% of total employment)","F","","percent","External","HADE"
1,2006,"2006","SE.ADT.LITR.ZS","Literacy rate, adult (% of people ages 15 and above)","M","","percent","External","RPR"
1,2006,"2006","SH.DYN.MORT","Mortality rate, under-5 (per 1,000 live births)","M","","per 1,000","External","RPR"
1,2006,"2006","SH.STA.MALN.ZS","Malnutrition prevalence, weight for age (% of children under 5)","M","","percent","External","RPR"
1,2006,"2006","SL.AGR.EMPL.ZS","Employment in agriculture (% of total employment)","M","","percent","External","HADE"
1,2006,"2006","EA.PRD.AGRI.KD","Agriculture value added per worker (constant 2000 US$)","N","334.173894312237","constant 2000 US$","External","RPR"
1,2006,"2006","FS.OA.POU.PCT3D1","Prevalence of undernourishment (%)","N","32.3","percent","External","RPR"
1,2006,"2006","NV.AGR.TOTL.KD.ZG","Agriculture, value added (annual % growth)","N","-5.10828004564105","percent","External","RPR"
1,2006,"2006","NV.AGR.TOTL.ZS","Agriculture, value added (percent of GDP)","N","29.2497367788414","percent","External","RPR"
1,2006,"2006","NY.ADJ.DFOR.GN.ZS","Adjusted savings: net forest depletion (% of GNI)","N","2.23079419136047","percent","External","NR"
1,2006,"2006","RL.IL.ALPC.HA","Arable land and permanent crops (ha)","N","7910000","ha","External","NR"
1,2006,"2006","SH.IMM.IDPT","Immunization, DPT (% of children ages 12-23 months)","N","58","percent","External","RPR"
1,2006,"2006","SE.ADT.LITR.ZS","Literacy rate, adult (% of people ages 15 and above)","N","","percent","External","RPR"
1,2006,"2006","SE.ADT.MYS.ZS","Mean years of schooling of adults (years)","N","2.6","years","External","RPR"
1,2006,"2006","RL.IL.AAAI.HA","Agricultural area actually irrigated (ha)","N","2307000","ha","External","NR"
1,2006,"2006","RL.IL.AAAI.PCT","Agricultural area actually irrigated, share of arable land and permanent crops (percent)","N","0.29165613147914","percent","External","NR"
1,2006,"2006","RL.IL.AL.HA","Arable land (ha)","N","7794000","ha","External","NR"
1,2006,"2006","RL.IL.AL.HC","Per capita arable land (ha)","N","0.304084897194803","ha/cap","External","NR"
1,2006,"2006","SI.POV.DDAY","Poverty headcount ratio at $1.25 a day (PPP) (% of population)","N","","percent","External","RPR"
1,2006,"2006","SI.POV.GAP2","Poverty gap at $2 a day (PPP) (%)","N","","percent","External","RPR"
1,2006,"2006","SH.STA.ANVC.ZS","Pregnant women receiving prenatal care (%)","N","30.3","percent","External","RPR"

